                 	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000004E-01	
  +1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.8500000000000005E+00	
  +2.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.8000000000000007E+00	
  +3.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.5999999999999996E+00	
  +4.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.4000000000000004E+00	
  +5.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.2000000000000011E+00	
  +6.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+00	
  +7.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.8000000000000007E+00	
  +8.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.6000000000000005E+00	
  +9.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.4000000000000004E+00	
  +1.0000000000000000E+01	  +7.2000000000000000E+01	  +9.0017119599846183E+01	  +7.8000000000000007E+00	
  +1.1000000000000000E+01	  +1.6920000000000002E+02	  +2.5404865675557829E+02	  +8.6500000000000004E+00	
  +1.2000000000000000E+01	  +2.6280000000000001E+02	  +4.0579167476110496E+02	  +9.3000000000000007E+00	
  +1.3000000000000000E+01	  +4.5360000000000002E+02	  +7.1213682854667479E+02	  +1.0100000000000001E+01	
  +1.4000000000000000E+01	  +4.6800000000000000E+02	  +7.3126768847523613E+02	  +1.0900000000000000E+01	
  +1.5000000000000000E+01	  +2.5200000000000000E+02	  +3.8619562365358223E+02	  +1.1150000000000000E+01	
  +1.6000000000000000E+01	  +1.2240000000000001E+02	  +1.7866873901689561E+02	  +1.0850000000000001E+01	
  +1.7000000000000000E+01	  +6.8400000000000006E+01	  +5.9883928217882080E+01	  +1.0350000000000001E+01	
  +1.8000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.9500000000000011E+00	
  +1.9000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.6500000000000004E+00	
